userName,score,at,content
Vitri ani,1,2021-12-16 09:04:59,Mending g usah kasih diskon kilat deh.. Udah ke layar pesanan tp di info klo promo tdk tersedia Berasa ngprank doang....
Desi Nuraisah,2,2021-12-16 09:04:27,"Anehh.. Tiba"" minta update. Pas di update ga mauan lwt playstore. Update lwt appmarket udh ke update malah ga bisa kebuka. Trs buka lwt playstore malah instal ulang"
Ellys Maria Simanjuntak,1,2021-12-16 07:36:41,"Saya pesen food, drivernya ga dateng dateng, dan ga di respon, sudah lebih satu jam. Saya pake menu bantuan grab buat batalin tetep ga bisa. Mengecewakan sekali!"
ARI NUR RIZKI,5,2021-12-16 04:52:34,"Salah satu aplikasi andalan nih buat sehari2 dan banyak promonya juga, semoga kedepannya jadi lebih baik lagi. Itu yg kasih bintang 1 mungkin orang2 yg nuyul voucher supaya dapat Kupon baru aja, hati2 y admin :v"
Galang Hafist,5,2021-12-16 04:46:33,apk nya bagus dan banyak promo nya makasih grab atas rewads-rewads yang telah kau adakan
Retno Ambarsari,5,2021-12-16 03:09:18,Mudah dan lebih cepat byk promonya
Raynanda Zach Putra,1,2021-12-15 15:15:38,Saya tidak tahu mengapa akun saya ditangguhkan karena saya baru memakai aplikasi grab dan baru memesan 1 kali untuk memesan sushi yay dan saya tidak pernah mengcansel malah saya kasih tip untuk abng grabnya saya benar benar kecewa pada aplikasi ini
Rio Tirta,3,2021-12-15 14:56:12,"Map drivernya ga jalan, seperti yang awal2.. Tetap stuck di tempat pesanan.."
marsya mldy,1,2021-12-15 14:45:47,"grab tolong baca ini dan respon ya, knpa si grab makin kesini makin susah, knpa akun saya di bekukan lama sekali, saya tau knp skrg grab ada fitur dibekukan agar tidak ada peniupuan buat driver, tolong aktitifkan akun saya yg nggak ada kesalahan , pasti nggak saya doang yg di bekukan dgn tiba tiba padahal nggak ada kesalahan dr kita nya, saya suka grab tapi grab nya kaya gini, tolong kerja sama nya ya grab."
Lumen Agung,3,2021-12-15 12:37:56,Bagus tapi masih ada yang kurang. seharusnya ketika ditempat atau daerah yg belum ada grab nya jangan dihilangkan pilihan penggunaan utk pemesanan grab pakai mobil atau sepeda motor. Karena kami juga mungkin butuh utk pemesanan lainnya pada grab mobil atau sepeda motor
Nicholas Thendian,1,2021-12-15 11:16:41,"Aplikasinya bagus, sistem securitynya bagus. Tapi beberapa drivernya kayak ga ada attitude."
ออยขอตั คุณโง,1,2021-12-15 09:51:05,"Setiap mesen grabfood via cash, selalu aj ga ad kembalian.. payah banget. Kadang ada yg alasan baru narik lah, baru dapet orderan cashlah(padahal malem jam 8-10 mesennya). Gak tau ini bohong atau beneran😶"
Umi Yanti,1,2021-12-15 09:24:12,"Dengan adanya aplikasi Grab,kemana mana jadi mudah.semangat Grab❤❤❤"
Dina Aulia,1,2021-12-15 08:20:15,"Jujur pake grab mau pesen makanan pake kode promonya ribet banget.. banyak a i u e o nya.. user lebih suka yang singkat padat.. jika promo tidak berlaku di daerah user.. jangan di tampilkan, jika promo hanya berlaku untuk mitra dengan ikon piala.. munculkan mitra saat mengklik kupon. Dan sertakan penjelasan singkat pada muka kupon."
yustina pertiwi darmawanti,5,2021-12-15 08:15:00,"Paling sukak pakai grab...gak pake lama nunggunya.mau yg anter pake motor maupun mobil, atau juga antar barang semua cepat...pengemudinya ramah n komunikatif."
sɐdǝlǝʞ ʎɹpǝW,1,2021-12-15 06:36:19,nyaman dan cepat perjalanan nya
Leon G,1,2021-12-15 05:50:04,"Mohon maap, ni kenapa grab ga bisa di instal ya???? Lama banget ga pernah berhasil, walaupun memori udh dikosongin tapi tetep ga berhasil, Please, sesulit inikah cuma instal doang????"
Desy Pristiwani,5,2021-12-15 05:28:00,"aman , cocok , banyak promoan .. aplikasi no ribet jugak membantu bgt"
Bobby Bobby,5,2021-12-15 03:46:38,"Grab membantu dalam segala kesulitan , baik dalam pengiriman makanan , barang , maupun dalam perjalanan . Dalam keseharian ada nya grab dapat membantu segala kesulitan yang tidak bisa kita atasi , seprti health dll . Mau pake grab kok tdk bisa . Ini bagaimana , kok susah sekali . Kata nya suruh memperbaharui aplikasi , disuruh sekarang , tp kok ga bisa terus , mau pesan susah ini grab bagaimana ?"
dewi dewi,3,2021-12-15 02:29:28,"Terus2an minta upgrade, tp servis ga di upgrade. Piye boss...??"
Fanny Ambarwati,2,2021-12-15 01:26:54,"Drivernya bikin telat kerja, udh nunggu lama2 ga bergerak utk jemput endingnya cari driver lagi"
Ricky Wibowo,5,2021-12-15 00:40:21,Akhir akhir ini pesen grab susah banget pagi pagi. Walau mobil jelas tersedia dan ready. Saya pun ga pernah bermasalah apapun
Arman Asra,3,2021-12-14 23:38:02,"pelayanan di maksimal utamanya waktu musim hujan krn sering salah titik pada maps,"
Kirana Azzahra,5,2021-12-14 23:17:27,"Ini aplikasi kenapa..? Kenapa akun saya ditangguhkan. Lalu, klo saya mau pesen makanan, mau jalan, mau order d grab mart gak bisa. Bagaimana ya ini.. tolong segera pulihkan akun saya"
tsaqib,1,2021-12-14 21:23:03,"Masa udh lama baru mau pake lg akun d tangguhkan,apa masalahnya.d gojek nggak ribet2 banget kaya grab.percuma download lg jg nggak bisa masuk"
Widya Kurnia,5,2021-12-14 16:00:29,"Promo grab enak2 semuanya , 1 kekurangannya driver grabbike nya suka lama kalo jemput harus nunggu 10 menit dulu baru jalan . Bukannya cepat jadi lambat"
Ian Alexandria,5,2021-12-14 12:01:57,"Aplikasinya sangat membantu, tapi tolong untuk para driver nya bisa di bina lagi, di arahkan supaya tidak membuat pengendara lain merasa terganggu. Yg saya alamin waktu di jalan hampir semua drivernya tidak fokus ke jalan, mereka malah fokus ke hp sampe ada yg rem mendadak lah, ada yg jalannya pelan tapi agak di tengah, bahaya banget tuh buat si driver sama pengguna jalan lain. Oke lah mereka lihat peta buat ke tempat tujuan, tapi kalo g tau jalan atau balas chat minimal ke pinggir dulu lah"
arumi unik,2,2021-12-14 11:32:53,"Perlu peningkatan, driver sudah Terima, sy menunggu 30 menit eh ternyata tercancel, jadi order ulang lagi, mestinya gamti driver otomatis,gimana seandainya sy gak cek kmbali,makanannya gak akan dtg2, driver antar 2 orderan sekaligus bikin pelanggan menunggu, takutnya orderan ketikar juga hikksss"
siti ulinnuhasnaini,5,2021-12-14 11:22:03,Aplikasi bagus. Cuman banyak driver yg ga ramah. Hampir setiap pesan makanan. Karena kita pesan saat kerja. Tidak menentu bagaimana situasi pekerjaan. Kadang ada yg nunggu ga ada 10 menit. Sudah marah2.
Winata Halim,1,2021-12-14 09:17:54,terlalu banyak vocher. bikin customer bingung. tolong disederhanakan aja atau dibuat otomati kepasang vocher sendiri biar customer gak bingung.
Mentari DiMalam,1,2021-12-14 08:11:47,"Aplikasi rusak gajelas, jelas jelas ada promo diskon dari mcd pas dipakai tetap nggak bisa aneh, semua promo juga nggak bisa dipakai di mcd, giliran resto lain bisa. Aneh sekali"
im NEVERDIE,1,2021-12-14 07:53:54,"Costumer Pesen makanan jarak 7,1 km dengan ongkos 20.000 dan biaya pemesanan 3.000, dapat driver pas saya tanya dan lihat aplikasi driver hanya mendapat ongkos kirim 10.400 alias 13.000-20% dengan jarak 4,21km. 3km kemana ilang kah? tapi kenapa costumer bayar ongkos kirim nya 20.000 walaupun pakai promo tetap pembayaran awal terhitung 20.000 . Dan disitu costumer merasa mahal untuk ongkos kirimnya, tapi yang driver dapat itu cuma 10.400 bukan 16.000 jadi kemanakah sisa nya? Kasian si driver"
Sakinaaah,1,2021-12-14 07:22:12,"Nunggu pesanan lama belum dapat kurir tdk bisa dicancel, pesanan sudah masuk dapur nunggu 3 jam buat dapat kurir. Pas sudah dapat kurir malah membatalkan pesanan. Membuang waktu, tolong perbaiki sistemnya biar pembeli bisa membatalkn pesanan kalay sudah menunggu terlalu lama"
Bro MIKE,1,2021-12-14 06:05:27,Gw kira gw doang .. sampe cek kesini wkwk.. ternyata makanan sekarang udh bisa sekaligus di ambil driver jdi super lama... Udh laper banget jadi gampang emosi jarak 700m nunggu 1 jam lebih.. sistem yg bkl buat org pndah kesebelah bye2 grabfood yg udh setua menemani hari2 ku 🙏
Dino Odigawa,5,2021-12-14 05:27:39,rasa nya enak dan berkualitas setiap produk nya
ratna dewiseptiani,1,2021-12-14 05:21:22,"please lah kebiasaan bgt grab, minta di upgrade mulu, kalo gak upgrade gabisa dibuka. aplikasi lain gak kaya gini. mending kalo upgrade nya gampang, udah fi upgrade butuh waktu lama buat di pake lagi"
Julynt,1,2021-12-14 05:07:21,Kok gabisa gunain promonya sih pdhl udah sesuai syarat dan ketentuan!
Febriani Safitri,1,2021-12-14 04:46:05,"Gaktau kenapa sekarang grab begini ya, akun saya selalu ditangguhkan padahal saya tidak pernah melakukan apa-apa. Sudah mencoba dengan nomor yg baru juga tetap saja ditangguhkan akun saya. Padahal pengen banget pake grab buat pesan pesan makanan. Tolong dibantu Setiap keluar harus login terus, pas login malah ada pemberitahuan akun anda ditangguhkan, padahal saya belum ada ngpain-ngpain"
Jeng Sri Sri,5,2021-12-14 04:39:54,"Pelayanan sangat bagus, Supirnya ramah"
Arif Nur hidayatullah,5,2021-12-14 01:57:06,"sangat membantu pada saat di butuhkan, pertahankan pelayanannya"
Nurina Amalia,1,2021-12-14 01:41:44,Bari download pake nomer baru di hp baru pas verifikasi selalu something went wrong teruuuusss.. gabisa masuk2. Mendingan shopefood ajaaaa
Rina Ulwia,1,2021-12-14 01:35:47,Perasaan sudah sering pesan grabfood dr lokasi yg sama. Tapi alamatnya masih ngaco mulu. Udah gitu nggak bisa dicancel. Harusnya alamat terakhir ngikutin alamat pemesanan sebelumnya lah. Lah ini malah ke alamat org yg nggak dikenali sama sekali. Bikin drivernya bingung n akhirnya marah2.
Firmansyah,3,2021-12-13 21:59:00,"Dimohon untuk pesanan grabfood pembayaran hanya bisa menggunakan uang elektronik, agar tidak ada oknum yg mengatas namakan orang lain untuk pesan yg tidak jelas. Kecuali pesan dan ambil sendiri. Terima kasih"
Shakila Nugroho,1,2021-12-13 16:11:19,"Agak kecewa untuk hari ini 13 des 21 karna sudah suka dengan aplikasi ini tp karna hanya 1 atau 2 oknum driver membuat kepuasan pelanggan kecewe, semoga lebih diseleksi lagi untuk driver mitra grabcar, meskipun apa promo potongan kita bayar lo pakek uang🙏🏻"
Leni Oktryfiani Kurniawan,2,2021-12-13 15:29:00,"Aplikasinya sangat bagus tapi mohon untuk mengecek mesin dan type motor para grab pengendara motornya. Karna saya pernah naik grab motor, motornya melaju sangat lambat sekali sepertinya mesin motornya sudah rusak sehingga sangat bahaya grab motornya saat antar saya lewat jalan besar dan saya jadi telat sekali sampai tujuan. Saya baru pertama kali naik grab dapat pengalaman seperti ini naik motor tapi kecepatannya seperti naik becak sehingga saya sangat telat sekali sampai tujuan."
Desy Yohana,1,2021-12-13 15:10:53,Saya baru instal apknya tapi tidak bisa² login ke apk nya. Ini solusinya gimana ya ?
Adytia Kurnia,1,2021-12-13 12:30:35,Baru banget install mau buat akun kok gak bisa malah di bekukan apaan gmna mau aplikasi bagus mau buat akun aja gak bisa malah suruh ajukan formulir banding udah 2 minggu gak terjadi apa apa
Yayah Chaeriyah,1,2021-12-13 11:12:42,"Aplikasi ini jadinya jelek sekali. Baru buat akun baru buat pesen grabfood, eror.. Suruh buka aplikasi grab lagi.. Eh malah akunnya ditangguhkan -_-. Padahal belum juga pesan apapun lohhhh. Terus saya ke kantor GRAB Cabang Terdekat. Dan disana saya tanya tanya masalah akun saya. Bilangnya ""akunnya sudah lama tidak dipakai, jadi harus buat akun bari lagi"". Oke saya turutin, tapi tetap saja buat akun baru masih begitu. Sampai buat akun baru sekitar 5 -_-... Sungguh kecewa dengan aplikasi ini"
Jordan,1,2021-12-13 11:06:15,"Maaf kak ini cuman nanya soalnya di layanan aplikasi tidak ada staf terus.ini grab saya katanya (Sepertinya ada yang salah silahkan coba lagi) pada grab bike dan grab car tidak bisa dibuka sudah dihapus dan didonload ulang , tp grab mart dan lainnya tidak apa apa hanya grab bike dan car mohon diurus secepatnya"
Rena Lusiana,5,2021-12-13 10:33:28,Kalau lagi males masak udah gampang tinggal pesen aja meski kadang bingung mau makan pesen apa
Fujiwara Asuka,1,2021-12-13 08:13:06,"Aneh banget mau pesan malah di bilangin ""kami menemukan aktivitas tidak wajar pada akunmu"" jadinya ga bsa pesen go food, padahal gua baru daftar loooo"
Beng Beng,1,2021-12-13 08:06:14,Aplikasi ToloooooooL...kasi banyak promo tapi gak bisa d pake semua...tolol pembohong ulung
su dardi,2,2021-12-13 05:19:42,"ui nya sangat tidak ramah user, malah lebih bagus app sebelah, ordernya lumayan ribet, status pesanan makanan dari driver ke rumah makan tidak ada hanya ada status dari rumah makan ke pengantaran pengguna gambar ui gpsnya sangat burik sekali atau sudah usang."
Dian Anggraeni,1,2021-12-13 05:19:14,error terus susah dapat driver selama 3 hari ini padahal sebelum2nya fine2 aja
Firzatuz Zahara,1,2021-12-13 04:44:03,Yang tidak suka dari Grab: mereka mengefisiensi pengantaran yang satu lokasi. Tapi itu bikin yang terima pesanan kedua lebih lama! Padahal sudah mengestimasi waktu biar sesuai jam makan siang. Eh malah jadi terlambat
Reza Bayu,1,2021-12-13 01:54:44,Lucu nih aplikasi katanya ada kode promo m3indopride. Kode promo di masukin koh promo nya ngga keluar yg jelas lh jangan gaje klo kasih promo. Kalian aplikator bsar kasih promo udah di liatin di mobile m3 suruh di pake tuh promo. Mau di pake promo nya ngga keluar aneh2!!!!
BillCans Eshal,5,2021-12-12 14:58:31,Aplikasinya bagus & membantu. tapi.. lebih ditingkatkan lagi yh aplikasinya ☺️
Bima Surya Adi raja 8,1,2021-12-12 13:44:23,"Apk cacat pesen makanan masa gk ada driver yg buat nganterin, jadi harus ambil makanan sendiri gitu ? Susah buat pesen juga , mending pakek gojek cara pesenya juga mudah , pasti ada driver yg nganter , kalo gk apk bawahan gue gk bakal download nih apk 👎"
Usep Hadian,5,2021-12-12 13:34:09,"cepat sampai,puas untuk harga segitu"
Rada wahyuni,1,2021-12-12 13:00:01,"Sehari udh 2x ditipu diskonan 12.12😂 diskonnya tiba2 ilang waktu mau dipake, pdahal udh ditunggu biar bisa pas waktunya, bela2in juga buat topup ovo ehh pas udh smngt buat checkout malah ilang ntah kmana tu voucher🤣🤣 Beda bngt sama apk lain yg gak pernah PHP"
Ferdirullah Yanto,2,2021-12-12 09:43:25,"Udah 2x nungguin diskon kilat, tpi selalu ilang setelah jamnya diskon dimulai. Padahal syarat dah sesuai semua. Komen dah 12x dihapus Kasih bintang 2 respon hapus komennya cepet banget"
kim law,5,2021-12-12 09:18:09,grab sangat cepat dan pasti dapat driver. nggak kaya aplikasi ojol tetangga sebelah
Dio Ricat _3TA05,1,2021-12-12 09:14:15,Banyak promo yg tiba2 hilang dan gk bisa di pakai padahal sebelumnya sudah sesuai ketentuan..
Mochamad Maulana _,1,2021-12-12 07:22:21,Kalau perjalanannya jauh pasti susah dapet
Queensha Freya,4,2021-12-12 06:12:34,masih kurang bgtu paham untuk sistem mau bayar cod pa pake ovo nya..kurang jelas
Devy Andary,1,2021-12-12 04:40:45,Aku instal grab tapi belum pernah pakai. Tapi pas mau niat pakai buka malah account dibekukan. Mksudnya apa... Nomorku salah apa. Sudah ajukan banding ga ada respon sama sekali. Lemah!!!
Riatari Horan,5,2021-12-12 04:28:02,"pengiriman barang menggunakan grab sangat cepat dan ramah, barang yg kita pesan habis tapi orang grabnya langsung menghubungi kitanya, sangat bagus dan pertahankan nilai kejujuran dan kedisiplinannya. dengan adanya promo di grabmart sangat membantu kita untuk membeli kebutuhan pokok sehari-hari kita, pelayanan grab tdk pernah mengecewakan pelanggan nya dan sangat berkualitas, tapi sayang lagi tgl 16 desember 2020 saya pesan grab car mau ke komplek unilever tdk ada grab car yg mau anter saya"
Sondang NiJoel,1,2021-12-12 03:02:09,"Grab motor nya selalu sibuk. Kita order, dapat nya lama. Setelah dapat diver, kita tunggu driver nganter penumpang dulu baru jemput kita. Begitu terus buat kesal juga. Mau cepat uda ngak bisa"
Azzura Gusnaidi,1,2021-12-12 02:40:44,"Jelek banget nih apk nya. udah pesen grab dan katanya ada, eh ditungguin dah setengah jam malah gak Dateng 2 tuh pesanan grab saya. Dulu apk nya gak gini, makin kesini pelayanan nya makin Buruk. Kecewa berat"
Yayu Wahyuni,1,2021-12-12 02:19:54,"Koq skrng ad istilah ""di luar kawasan pengantaran"" ??? Smw resto langganan yg ad makanan favorit q ""d luar kawasan pengantara"" smw 😓 Kemudian d sarankan ""Coba layanan ambil sndiri""...klo aq bs ambil sndiri ngapain pake grab food 😧 Bingung.a lg, psn yg jarak.a 2 km "" d luar kawasan pngantaran"" tp psn yg jarak.a ga smpai 1 km msh jg "" d luar kawasan pngantaran""....mw.a gmn siihhh...jd males pake grabfood 🤔"
Novarian Herpamuji,1,2021-12-12 01:10:14,"Saya pesan obat di grab health tapi kelanjutannya hanya diteruskan tim terkait terus tanpa ada kejelasan. Aplikasi tipu tipu abal abal kah ini, percuma semakin banyak fitur tapi respon ke customer masih kurang."
Adibda mahes Aghel,1,2021-12-11 23:47:46,"Baru 3x pesen makan dah akun di tangguhkan maksud nya gimana sih ndk jelas, memang nya aku melakukan hal apa sampe di tangguh kan, aku pesen selalu kasih bintang 5 ke abang grab nya, trus salah ku dimana ndk jelas ndk nyambung juga tiba tiba pagi nya buka aplikasi akun anda di tangguh kan, maksud nya apa coba 🤦‍♀️🤦‍♀️"
Dita Irtanti Febrianita,3,2021-12-11 16:01:18,Padahal bertahun2 gak buka akun grab tapi. Akun dibekukan karna aktifitas diluar kewajaran. Aneh
Yuliyanto Yanto,5,2021-12-11 13:38:30,mudah dan nyaman responsif
Iffan Syihab,2,2021-12-11 11:46:09,"Nggk suka ada yang nganterin ya dibarengin, udh laper2 nunggu eh.... Nggk dateng2 gara2 ngaterin pesenan orang lain dulu, ini nggk efisien namanya, nyusahin pelanggan, tolong yg ini dihapus aja"
Jamila balqis,5,2021-12-11 11:12:41,grab mantap diskonnya gede bngt teruslah berkarya lebih baik sebaiknya
naya nurfitriikawati,2,2021-12-11 09:12:48,Tolong kalo kurirnya bisa ambil double pesanan makanan di tempat berbeda. Di wajibkan pakai tas khusus biar makanannya tetap hangat dong. Kasian yang order di awal jadi dingin nungguin orderan orang lain jadi padahal antrinya di warung yang kedua itu lama. Terimakasih
Abbie ZafRaND,1,2021-12-11 08:03:57,Susah nya cari driver pada saat sangat di butuhkan.. 😩
Ari H Belo,1,2021-12-11 07:07:03,"Jujur saya kecewa dengan pelayanan grab ini terutama grab car.. Saya pesan grab car xl untuk 1-6 orang.. ketika sampai drivernya bilang "" kursi belakang sudah saya ikrt klo ga mau cancel aja"" Untuk attitude tolong di pilih pilih nanti saya mau up secara pribadi drivernya siapa. Udah pilih pilih mulu rutenya.. Tolong beri edukasi kepada setiap driver masalah payanan sopan santunya.. masalah ini kalau kejadian di saya pribadi aja ga masalah. Tapi ini orang tua saya sedang urgent"
Ilmi Nurul,3,2021-12-11 06:39:37,"Kenapa grab makin sini makin agak sulit susah pesen grabbike klo abis hujan , sangat sulit sekali dan lamaaaa banget ,, padahal klo lancar itu sangat membantu , tlg d perbaiki lagi"
saptya prawitasari,5,2021-12-11 05:48:42,"mobil bersih, driver ramah dan menyenangkan bila diajak ngobrol,"
Irfan Maulana,3,2021-12-11 05:34:00,"GPS aneh/error, dan setiap perjalanan di sistem grab kenapa selalu dijauhkan oleh maps nya? Dan membuat harga melonjak tinggi, mantap lah Dark System Grab Nya makasih loh"
Jumat Gondrong,5,2021-12-11 05:16:49,perjalanan lbih nyaman orga ekonomis terjangkau
N Qisthy,1,2021-12-11 04:42:31,"Baru daftar malah tiba2 ditangguhkan, akhinrnya daftar lagi pke no yg lain masih aja gk bisa masuk..kalo emang ada pelanggaran mana buktinya, ini aplikasi paling anehh..balik lagi aja ke negara pembuatnya"
Irza Fathunnisa,1,2021-12-11 04:33:20,"Titik lokasinya bisa berubah sendiri dan jauh sekali dari lokasi awal, sehingga kasian drivernya harus putar arah. Semoga kedepannya di perbaiki lagi kualitasnya."
jon Jonatan,1,2021-12-11 03:16:58,Dulu mau daftar grab senang. Sekarang main minta kode verifikasi pun banyak susah.
Melviano Raditya A,1,2021-12-10 18:00:08,"Ini gimana ya, baru aja daftar akun tbtb kode promo ga bisa digunain. Padahal nomor hp dan email baru dan hp pun juga baru tapi gk bisa pake semua promo grab. Sumpah kecewa banget download, apk nya gak kayak dulu lagi! Kalo dah bisa di pake promonya baru gue naikin BINTANG NYA!!!"
Ririn Rusady,5,2021-12-10 17:35:52,"Dulu suka pake grab skrang mahal banget promonya udah gada masa cuma buat Gocar itu pun potong 5rb aja, jadi beralih ke ojek sebelah. Jauh banget harganya, next semoga harganya bisa bersaing ya sama sebelah."
Dewy Tan,5,2021-12-10 14:45:15,"enak soto nya, murah, pengiriman cepat"
mfachri Iqbal,1,2021-12-10 14:29:55,Ini kenapa saya udah pesan berkali² tapi masih aja pengemudi tidak dapat ditemukan ini kenapa ya?
Ipick G Sasmita,2,2021-12-10 14:20:18,"GPS yang di Driver suka ngaco,udh jelas d aplikasi jalan yang benar,eh malah bikin driver nyasar,ko gak sinkron ya di driver sama di user"
Winda Ayu,1,2021-12-10 13:18:29,Gak bisa terus mau pesan makanan. Gak dapat driver berkali-kali nyoba. Parah banget padahal habis update. Gimana nihhh grab??!!!
Arif Ristyanto,1,2021-12-10 12:50:54,"akun gede ko kinerjanya gapernah diperbaiki ya?, saya gapernah menyalah gunakan app ini namun akun saya terblokir dengan tanpa ada bukti, saya udh coba bikin akun baru namun tertulis sudah pernah terdaftar jdi saya gabisa login. kecewa sih👎"
Aning Lismarini,1,2021-12-10 11:18:05,"Kesekian kali nya,,,,setiap hari padahal jadi pelanggan setia layanan jasa grab food,,tp kenapa kerap kali harus banget nyiapin uang pas untuk pembayaran,,heran.... Mau kembalian berapapun,,sampe kembalian 10rb atau 5ribu juga seringkali nya driver bilang ngga ada kembaliannya lha dengan berbagai macam alasan bla,,bla,,bla.....hhmmmmm"
Muttoharo,1,2021-12-10 10:02:47,Saya bingung dengan aplikasi ini... Saya pertama kali buat akun grab... Eh tiba-tiba akun saya ditangguhkan... Selesai daftar eh tiba-tiba ada keterangan akun anda Ditangguhkan...
Ananda Kelana Kinanti,1,2021-12-10 07:04:50,"Dulu suka pesen makanan pake Grabfood, eh sekarang kok malah kayak gini, ada pembatasan wilayah pengantaran, jarak 1 km aja dibatasin, ga bisa pesan. Aneh banget deh semakin diperbarui malah semakin buruk. Saya cari makanan yang muncul toko semua karena di daerah saya banyak toko. Pesan makanan yang jaraknya lebih dari 1 km ga bisa, ada pembatasan wilayah pengantaran. Aneh banget, malah makin ribet!"
heli yati,4,2021-12-10 07:02:00,"Saya mau pesan grabfood kenapa bacaan lokasi pengantaran tidak terjangkau, padahal kemarin malam saya pesan di resto itu. Rekomendasi pencarian resto juga sesuai dengan yang saya cari. Dicari resto kenapa yang muncul mart. Tolong diperbaiki ya. Saya kecewa sekali jika pelayanan grab seperti ini. Padahal saya udah pakai grab dari 2017 loh."
Sephia Ningrum,1,2021-12-10 05:54:49,"Tolong dong dibantu, kenapa login dengan no hp gabisa, harus login dengan FB dan Gmail terkait, akun FB dan email sebelumnya lupa pas dan email, jadi saya gabisa login walau kode otp sudah dikirim, ga kaya aplikasi sebelah cuma otp aja udah bisa login, parah banget makin kesini malah ovo saya masih ada saldo"
Axel Yansen Irawan,1,2021-12-10 05:21:43,"""Uang parkir"" Kata driver ya saya gtw beneran ada atau tidaknya ""uang parkir"", Di beberapa tmpt tidak ada "" Uang parkir"" Atau parkir gratis tapi sering beberapa driver meminta uang parkir yang dimana setahu saya tidak di tarik biaya parkir :v. Tolong dengan sangat mungkin drivernya bisa di berikan edukasi atau bagaimana, sikapnya juga kurang ramah, pengalaman saya naik grab car dari rumah sakit, drivernya sangat tidak sopan dan kasar dari tutur bahasanya."
Muhammad Almubtasim,1,2021-12-10 02:27:44,"aneh ya aplikasinya, masak kirim email verifikasi gak masuk2 di inbox gmail saya, saya ulangi sampe beberapa kali, nomor hp saya pernah daftar rupanya jadi cuma disuruh verifikasi email aja, ditungguin nggak ada email yg masuk sama sekali, pas saya buat akun baru pake email lama saya sukses, nggak lama ada peringatan akun anda ditangguhkan karena aktivitas diluar kewajaran, sangat mengecewakan algoritma aplikasinya kacau, tolong belajar lagi algoritma yg baik"
Hety AlHakim,5,2021-12-10 01:38:45,mempermudah perjalanan dan layanannya ok
Nike Pratiwi,1,2021-12-10 00:33:53,"Kemahalan ongkir drpda harga produk.... Padahal deket lokasinya tp patokan ongkir sama.. ongkir suka berubah"" juga... Pas jm makan siang ongkirnya 2x lipat lagi... Mana klo udh masuk grab kan makanannya jg dinaikkan harganya ditambah pajak plus ongkir plus plus bnget Ckckckkcckkck...."
vicka calista bella,1,2021-12-10 00:21:16,"Kalo pesen titik jemput nya beda dan jadi jauh , kesel alamat rumah udah di pin tapi tetep ajaa beda , kasian driver jadi muter muter"
Bagus nur,2,2021-12-09 22:27:08,"kecewa bgt, skrg grab suka logout sendiri trs tiba2 ajukan banding, udh 4x saya harus ganti nomor gara2 sering begini tiba2, tolong dong diperbaiki apknya 🙏"
Tanda Dwi,1,2021-12-09 22:26:41,"Kode otp nggak masuk masuk, padahal cuman mau login ulang :("
manusia,1,2021-12-09 16:13:54,"Baru pakai promo langsung ga bisa,wkkw ngapain buat promo bos kalau ujung""nya ga bisa, pakai tulis aktivitas mencurigakan,dari Hongkong.udah lebih mahal biaya dari gojek, pelayanan juga buruk.kukira grab dah bagus sekarang tapi ternyata ga da bedanya sama dulu wkwk"
Meisya Tarigan,3,2021-12-09 14:47:50,"Mau pesen makanan aja gak bisa.. Setiap pesan makanan pasti selalu "" Yah... Pengemudi nya lagi sibuk "" sudah berakali kalian saya alami begitu. Itu tidak wajar. Karena saya sudah berkali kali seperti itu. Kalau cuman 1,2,3 kali saja itu wajar. Tapi saya setiap pesan makanan selalu seperti itu"
Faiz Nugraha,3,2021-12-09 14:09:33,"Grab hari ini lagi kenapa ya , kok bikin emosi sih. Mau pesen grabcar gada pilihan transportasinya, coba tolong diperbaiki. Lelet bgt"
Yadi M,1,2021-12-09 12:24:39,"Lucu grab,saya ga ada kesalahan,belum pernah cobain terus saya uninstall, terus download lagi malah akun di bekukan.kecewa,grab bener-bener ga jelas, kecewa!!!!"
Vonny 98,1,2021-12-09 12:22:43,"Hallo grab kenapa saya tidak bisa masuk ke aplikanya lagi ya padahal sudah pakai nomor yang sama dan facebook yang sama tapi tetap bisa masuk, mohon bantuannya, karena saya sudah coba berkali kali tetap tidak dapat kode OTP dan tetap tidak bisa masuk. terimakasih."
Filia Devi,2,2021-12-09 11:58:50,"Metode pembayaran gak lengkap , gk ada virtualaccount kayak aplikasi lain ,"
ajik azka,1,2021-12-09 11:06:58,Tolong dibantu.akun ku.dibanned.ada keterangan penyalah gunaan.padahal gak pakai selama hampir 2 tahun.masak gak bisa bikin lagi
D'Asap,3,2021-12-09 10:47:45,Mohon izinkan costumer mengirim pesan ke driver setelah pesanan selesai. Mau ngecek barang ketinggalan di grab car sulit sekali harus telepon di luar aplikasi. Itu pun driver nya tidak menjawab
Roro Jana,1,2021-12-09 07:08:16,Saya udh daftar ke 4 akun ya karna setiap saya mau login akun nya slalu di tanguh kan padahal saya ga pernah ngerasa salah sama sekali. Ini gimana mksd nya sih cape juga kalo setiap mau order ojek harus daftar akun baru terus!
andi syamsiah,5,2021-12-09 07:06:01,terimakasih atas pelayanan grab dan tepat waktu
Nanang Tangsin,5,2021-12-09 03:37:07,nyaman.cepat waktunya..trims y grab sdh antar smpai tjuan dengan selamat
